"__uniqueid__"	"_match_text_"	"_path_"	"_concept_"	"keywords"	"concept_type"	"Fact_ID"	"fact_argument_acq"	"fact_argument_country"	"fact_argument_inc"	"fact_argument_kyc"	"fact_argument_ra"	"fact_argument_st"	"Obs_ID"	"total_sentences"	"fileName"	"_sentence_id_"	"_start_"	"_end_"
"        1902"	"1."	""	""	""	""	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000019"	"         179"	"Accent Holdings LLC.pdf"	"         161"	"        2278"	"        2279"
"        2002"	"Offshore Jurisdiction Exposure 
o While the legal jurisdiction is US, Accent’s counterparties and treasury"	"nlpNounGroup"	"nlpNounGroup"	"Jurisdiction Exposure 
o | legal jurisdiction | Exposure 
o | Accent’s"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000020"	"         179"	"Accent Holdings LLC.pdf"	"         160"	"        2281"	"        2388"
"        2103"	"1."	""	""	""	""	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000021"	"         201"	"RLK Systems Inc.pdf"	"         181"	"        2043"	"        2044"
"        2204"	"Primary Risk Driver 3: High Transaction Velocity (Score: 0.91/1.0)
Transaction Volumes 2025: $418,122,553.90."	"risk_amplifiers"	"risk_amplifiers"	"High"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000022"	"          79"	"Nevis Energy Partners LLC.docx"	"          58"	"        2912"	"        3020"
"        2204"	"Primary Risk Driver 3: High Transaction Velocity (Score: 0.91/1.0)
Transaction Volumes 2025: $418,122,553.90."	"nlpMoney"	"nlpMoney"	"$418,122,553.90"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000022"	"          79"	"Nevis Energy Partners LLC.docx"	"          58"	"        2912"	"        3020"
"        3601"	"Outflows 
predominantly to Caribbean vehicles (BVI, Cayman)."	"nlpPlace"	"nlpPlace"	"Caribbean"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.p_000000000000036"	"          78"	"Nevis Energy Partners LLC.pdf"	"          43"	"        4827"	"        4886"
"        3601"	"Outflows 
predominantly to Caribbean vehicles (BVI, Cayman)."	"nlpNounGroup"	"nlpNounGroup"	"Caribbean vehicles"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.p_000000000000036"	"          78"	"Nevis Energy Partners LLC.pdf"	"          43"	"        4827"	"        4886"
"        3601"	"Outflows 
predominantly to Caribbean vehicles (BVI, Cayman)."	"High_Risk_Countries"	"High_Risk_Countries"	"Cayman"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.p_000000000000036"	"          78"	"Nevis Energy Partners LLC.pdf"	"          43"	"        4827"	"        4886"
"        3702"	"Accent Holdings was identified during the Q3 2025 legacy distribution review cycle."	"nlpDate"	"nlpDate"	"Q3 2025 | 2025"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000037"	"         179"	"Accent Holdings LLC.pdf"	"         143"	"        3602"	"        3684"
"        3702"	"Accent Holdings was identified during the Q3 2025 legacy distribution review cycle."	"nlpNounGroup"	"nlpNounGroup"	"review cycle | distribution review cycle | distribution review | legacy distribution review cycle | legacy distribution review | legacy distribution"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000037"	"         179"	"Accent Holdings LLC.pdf"	"         143"	"        3602"	"        3684"
"        3803"	"Account monitoring elevated to Level 3 (real-time)"	""	""	""	""	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000038"	"         201"	"RLK Systems Inc.pdf"	"         164"	"        3032"	"        3081"
"        3904"	"Network analysis (using FCRM Graph Tool) identified 41% overlap with a known high-velocity real estate flipper network flagged in 2024."	"nlpPercent"	"nlpPercent"	"41%"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000039"	"          79"	"Nevis Energy Partners LLC.docx"	"          41"	"        4786"	"        4920"
"        3904"	"Network analysis (using FCRM Graph Tool) identified 41% overlap with a known high-velocity real estate flipper network flagged in 2024."	"nlpNounGroup"	"nlpNounGroup"	"estate flipper network | flipper network | Network analysis | estate flipper"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000039"	"          79"	"Nevis Energy Partners LLC.docx"	"          41"	"        4786"	"        4920"
"        3904"	"Network analysis (using FCRM Graph Tool) identified 41% overlap with a known high-velocity real estate flipper network flagged in 2024."	"nlpDate"	"nlpDate"	"in 2024 | 2024"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000039"	"          79"	"Nevis Energy Partners LLC.docx"	"          41"	"        4786"	"        4920"
"        4004"	"Governance review: Missing independent board minutes; CEO Wilson listed 3 directorshipsin energy shells (all Bermuda-incorporated, <2 years old)."	"nlpPerson"	"nlpPerson"	"CEO Wilson"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000040"	"          79"	"Nevis Energy Partners LLC.docx"	"          40"	"        4922"	"        5066"
"        4004"	"Governance review: Missing independent board minutes; CEO Wilson listed 3 directorshipsin energy shells (all Bermuda-incorporated, <2 years old)."	"nlpNounGroup"	"nlpNounGroup"	"energy shells | board minutes | Governance review | directorshipsin energy shells | directorshipsin energy"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000040"	"          79"	"Nevis Energy Partners LLC.docx"	"          40"	"        4922"	"        5066"
"        4004"	"Governance review: Missing independent board minutes; CEO Wilson listed 3 directorshipsin energy shells (all Bermuda-incorporated, <2 years old)."	"nlpMeasure"	"nlpMeasure"	"2 years"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000040"	"          79"	"Nevis Energy Partners LLC.docx"	"          40"	"        4922"	"        5066"
"        5401"	"."	""	""	""	""	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.p_000000000000054"	"          78"	"Nevis Energy Partners LLC.pdf"	"          25"	"        7134"	"        7134"
"        5502"	"Findings:"	""	""	""	""	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000055"	"         179"	"Accent Holdings LLC.pdf"	"         125"	"        4907"	"        4915"
"        5603"	"Cayman → Cyprus: 18% ($247M)"	"nlpPercent"	"nlpPercent"	"18%"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000056"	"         201"	"RLK Systems Inc.pdf"	"         146"	"        4028"	"        4057"
"        5603"	"Cayman → Cyprus: 18% ($247M)"	"nlpMoney"	"nlpMoney"	"$247M"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000056"	"         201"	"RLK Systems Inc.pdf"	"         146"	"        4028"	"        4057"
"        5603"	"Cayman → Cyprus: 18% ($247M)"	"High_Risk_Countries"	"High_Risk_Countries"	"Cayman"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000056"	"         201"	"RLK Systems Inc.pdf"	"         146"	"        4028"	"        4057"
"        5704"	"Risk Score Peak: 0.92/1.0 (Week 8)."	"nlpDate"	"nlpDate"	"Week 8"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000057"	"          79"	"Nevis Energy Partners LLC.docx"	"          23"	"        6985"	"        7019"
"        7201"	"Lessons Learned: Legacy portfolio reviews must incorporate PE transaction lookbacks."	"nlpNounGroup"	"nlpNounGroup"	"transaction lookbacks | PE transaction | portfolio reviews | Legacy portfolio reviews | Legacy portfolio"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.p_000000000000072"	"          78"	"Nevis Energy Partners LLC.pdf"	"           7"	"        8999"	"        9082"
"        7201"	"Lessons Learned: Legacy portfolio reviews must incorporate PE transaction lookbacks."	"incorporation_references"	"incorporation_references"	"incorporate"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.p_000000000000072"	"          78"	"Nevis Energy Partners LLC.pdf"	"           7"	"        8999"	"        9082"
"        7302"	"o A central settlement / treasury vehicle receiving franchise fees,"	"nlpNounGroup"	"nlpNounGroup"	"franchise fees | treasury vehicle | central settlement"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000073"	"         179"	"Accent Holdings LLC.pdf"	"         107"	"        6277"	"        6343"
"        7403"	"Key Findings:"	""	""	""	""	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000074"	"         201"	"RLK Systems Inc.pdf"	"         128"	"        5151"	"        5163"
"        7504"	"Velocity benchmarking refined for real estate-energy hybrids."	"nlpNounGroup"	"nlpNounGroup"	"estate-energy hybrids"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000075"	"          79"	"Nevis Energy Partners LLC.docx"	"           5"	"        8886"	"        8946"
"        9102"	"• Funds Inflow 2025: ~1.73B 
• Funds Outflow 2025: ~1.17B"	""	""	""	""	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000091"	"         179"	"Accent Holdings LLC.pdf"	"          89"	"        8004"	"        8064"
"        9203"	"Other: 15%"	"nlpPercent"	"nlpPercent"	"15%"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000092"	"         201"	"RLK Systems Inc.pdf"	"         110"	"        5689"	"        5698"
"       10003"	"text"	""	""	""	""	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000100"	"         201"	"RLK Systems Inc.pdf"	"         102"	"        6261"	"        6264"
"       10702"	"• Documentation on IP ownership (trademarks and brand assets) and royalty 
agreements with operating subsidiaries."	"nlpNounGroup"	"nlpNounGroup"	"brand assets | IP ownership | operating subsidiaries | royalty 
agreements"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000107"	"         179"	"Accent Holdings LLC.pdf"	"          73"	"        9497"	"        9612"
"       11402"	"Key clarifications:"	"nlpNounGroup"	"nlpNounGroup"	"Key clarifications"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000114"	"         179"	"Accent Holdings LLC.pdf"	"          66"	"       10007"	"       10025"
"       12102"	"1"	""	""	""	""	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000121"	"         179"	"Accent Holdings LLC.pdf"	"          59"	"       10644"	"       10644"
"       13703"	"Transaction Complexity: 0.48 (High → Medium)"	"risk_amplifiers"	"risk_amplifiers"	"High | Complexity"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000137"	"         201"	"RLK Systems Inc.pdf"	"          65"	"        7900"	"        7945"
"       14403"	"Treasury flow sampling (15% volume)"	"nlpPercent"	"nlpPercent"	"15%"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000144"	"         201"	"RLK Systems Inc.pdf"	"          58"	"        8202"	"        8236"
"       14403"	"Treasury flow sampling (15% volume)"	"nlpOrganization"	"nlpOrganization"	"Treasury"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000144"	"         201"	"RLK Systems Inc.pdf"	"          58"	"        8202"	"        8236"
"       14403"	"Treasury flow sampling (15% volume)"	"nlpNounGroup"	"nlpNounGroup"	"flow sampling"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000144"	"         201"	"RLK Systems Inc.pdf"	"          58"	"        8202"	"        8236"
"       15103"	"Board compliance attestation"	"nlpNounGroup"	"nlpNounGroup"	"compliance attestation | Board compliance attestation | Board compliance"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000151"	"         201"	"RLK Systems Inc.pdf"	"          51"	"        8487"	"        8514"
"       15802"	"• Ownership Concentration: Remains structurally high, but governance 
enhancements and added independent oversight moved this dimension from 
“Very High” to “High.”"	"risk_amplifiers"	"risk_amplifiers"	"High | High | high"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000158"	"         179"	"Accent Holdings LLC.pdf"	"          22"	"       13564"	"       13737"
"       15802"	"• Ownership Concentration: Remains structurally high, but governance 
enhancements and added independent oversight moved this dimension from 
“Very High” to “High.”"	"nlpNounGroup"	"nlpNounGroup"	"independent oversight | governance 
enhancements"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000158"	"         179"	"Accent Holdings LLC.pdf"	"          22"	"       13564"	"       13737"
"       16502"	"• Maintenance of the counterparty whitelist and documentation standards for 
offshore payments."	"nlpNounGroup"	"nlpNounGroup"	"offshore payments | documentation standards | counterparty whitelist"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000165"	"         179"	"Accent Holdings LLC.pdf"	"          15"	"       14354"	"       14450"
"       17202"	"Executive Summary
	Entity Overview and Triggering Factors
	Basic Profile
	Key Risk Drivers
	Initial Screening and Escalation
	Automated Risk Scoring
	Immediate Controls
	Detailed Assessment Phase
	1."	"Trigger"	"Trigger"	"Triggering"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000172"	"         179"	"Accent Holdings LLC.pdf"	"           8"	"       15494"	"       15692"
"       17202"	"Executive Summary
	Entity Overview and Triggering Factors
	Basic Profile
	Key Risk Drivers
	Initial Screening and Escalation
	Automated Risk Scoring
	Immediate Controls
	Detailed Assessment Phase
	1."	"InitialScreening"	"InitialScreening"	"Initial Screening"	"Concept"	"           ."	""	""	""	""	""	""	"AccentHoldingsLLC.pdf_000000000000172"	"         179"	"Accent Holdings LLC.pdf"	"           8"	"       15494"	"       15692"
"       18803"	"Cayman Economic Substance API integration"	"nlpNounGroup"	"nlpNounGroup"	"API integration | Substance API integration | Economic Substance API integration"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000188"	"         201"	"RLK Systems Inc.pdf"	"          14"	"        9333"	"        9373"
"       18803"	"Cayman Economic Substance API integration"	"High_Risk_Countries"	"High_Risk_Countries"	"Cayman"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000188"	"         201"	"RLK Systems Inc.pdf"	"          14"	"        9333"	"        9373"
"       19503"	"Risk Committee: APPROVED [03/16/2026]"	"nlpOrganization"	"nlpOrganization"	"Risk Committee"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000195"	"         201"	"RLK Systems Inc.pdf"	"           7"	"        9709"	"        9745"
"       19503"	"Risk Committee: APPROVED [03/16/2026]"	"nlpDate"	"nlpDate"	"03/16/2026"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000195"	"         201"	"RLK Systems Inc.pdf"	"           7"	"        9709"	"        9745"
"         304"	"The entity exhibited three primary risk drivers: (1) short management tenure following a private equity leveraged buyout,(2) elevated governance risk due to concentrated ownership changes, and (3) high transaction velocity inconsistent with stated business activities."	"nlpNounGroup"	"nlpNounGroup"	"business activities | risk drivers | governance risk | management tenure | transaction velocity | private equity | ownership changes"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000003"	"          79"	"Nevis Energy Partners LLC.docx"	"          77"	"         495"	"         762"
"         304"	"The entity exhibited three primary risk drivers: (1) short management tenure following a private equity leveraged buyout,(2) elevated governance risk due to concentrated ownership changes, and (3) high transaction velocity inconsistent with stated business activities."	"risk_amplifiers"	"risk_amplifiers"	"high"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000003"	"          79"	"Nevis Energy Partners LLC.docx"	"          77"	"         495"	"         762"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_Jurisdictional_Risk"	"Extract_Jurisdictional_Risk"	"Cayman Islands incorporation, high"	"Fact"	"           5"	""	"Cayman Islands"	""	""	"high"	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_KYC_References"	"Extract_KYC_References"	"complex multi-
jurisdictional payment chains, and outdated Legacy KYC"	"Fact"	"          11"	""	""	""	"KYC"	"complex"	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_Jurisdictional_Risk"	"Extract_Jurisdictional_Risk"	"Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated"	"Fact"	"           2"	""	"Cayman"	""	""	"outdated"	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"nlpPlace"	"nlpPlace"	"Cayman Islands"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_Jurisdictional_Risk"	"Extract_Jurisdictional_Risk"	"Cayman Islands incorporation"	"Fact"	"           4"	""	"Cayman"	"incorporation"	""	""	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_Jurisdictional_Risk"	"Extract_Jurisdictional_Risk"	"Cayman Islands incorporation"	"Fact"	"           8"	""	"Cayman Islands"	"incorporation"	""	""	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_Jurisdictional_Risk"	"Extract_Jurisdictional_Risk"	"Cayman Islands incorporation, high"	"Fact"	"           1"	""	"Cayman"	""	""	"high"	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_KYC_References"	"Extract_KYC_References"	"high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC"	"Fact"	"           9"	""	""	""	"KYC"	"high"	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Trigger"	"Trigger"	"triggered"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_Jurisdictional_Risk"	"Extract_Jurisdictional_Risk"	"Cayman Islands incorporation, high transaction volumes through complex"	"Fact"	"           3"	""	"Cayman"	""	""	"complex"	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"incorporation_references"	"incorporation_references"	"incorporation"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"risk_amplifiers"	"risk_amplifiers"	"high | outdated | complex"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_KYC_References"	"Extract_KYC_References"	"outdated Legacy KYC"	"Fact"	"          10"	""	""	""	"KYC"	"outdated"	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_Jurisdictional_Risk"	"Extract_Jurisdictional_Risk"	"Cayman Islands incorporation, high transaction volumes through complex"	"Fact"	"           7"	""	"Cayman Islands"	""	""	"complex"	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"Extract_Jurisdictional_Risk"	"Extract_Jurisdictional_Risk"	"Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated"	"Fact"	"           6"	""	"Cayman Islands"	""	""	"outdated"	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"High_Risk_Countries"	"High_Risk_Countries"	"Cayman | Cayman Islands"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
"         603"	"Despite appearing as a standard retail operation, the combination of 
Cayman Islands incorporation, high transaction volumes through complex multi-
jurisdictional payment chains, and outdated Legacy KYC documentation triggered 
automated escalation."	"nlpNounGroup"	"nlpNounGroup"	"automated escalation | standard retail | Islands incorporation | standard retail operation | Cayman Islands incorporation | KYC documentation | payment chains | Legacy KYC documentation | transaction volumes | retail operation"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000006"	"         201"	"RLK Systems Inc.pdf"	"         196"	"         523"	"         771"
